  -4.53690529      -122.384872    
  -4.74784422      -121.432320    
  -4.90732861      -120.414749    
  -5.05755234      -119.460541    
  -5.20305395      -118.441330    
  -5.36662531      -117.485008    
  -5.52828407      -116.463745    
  -5.68820572      -115.504662    
  -5.84606504      -114.480637    
  -6.00207376      -113.517899    
  -6.15591145      -112.552811    
  -6.34865427      -111.522545    
  -6.49833107      -110.552032    
  -6.68684340      -109.516174    
  -6.87311459      -108.538712    
  -7.05724669      -107.557007    
  -7.23941374      -106.509674    
  -7.41958427      -105.518326    
  -7.63869381      -104.521187    
  -7.85605526      -103.517738    
  -8.07176018      -102.448494    
  -8.28617954      -101.430984    
  -8.49936867      -100.405151    
  -8.71173763      -99.3703232    
  -8.92349815      -98.3256912    
  -9.17589855      -97.2165756    
  -9.42847824      -96.1512604    
  -9.64086151      -95.0738144    
  -9.85437870      -93.9834137    
  -10.0696106      -92.8791809    
  -10.3278704      -91.7602234    
  -10.5479431      -90.5827789    
  -10.7714386      -89.4341660    
  -10.9991102      -88.2684708    
  -11.1902790      -87.0848999    
  -11.3868599      -85.8519974    
  -11.5889664      -84.6340027    
  -11.7562265      -83.3963547    
  -11.8891544      -82.1204605    
  -11.9881334      -80.8466263    
  -12.0946760      -79.5444870    
  -12.1679802      -78.2328720    
  -12.1668329      -76.9126587    
  -12.1739883      -75.5849380    
  -12.1070528      -74.2508774    
  -12.0073557      -72.9116058    
  -11.8749971      -71.5989609    
  -11.7098217      -70.2599945    
  -11.5116863      -68.9641190    
  -11.2396317      -67.6819687    
  -10.9340725      -66.4147034    
  -10.5955448      -65.1630020    
  -10.2226543      -63.9277763    
  -9.81582928      -62.7857895    
  -9.37461376      -61.5906372    
  -8.93827057      -60.4999733    
  -8.46615219      -59.3450890    
  -7.95752954      -58.3040581    
  -7.45234585      -57.2888794    
  -6.94880867      -56.1948776    
  -6.44692898      -55.2249985    
  -5.90550327      -54.2778931    
  -5.36406994      -53.3523903    
  -4.86141539      -52.3323326    
  -4.31726027      -51.4442368    
  -3.77103472      -50.5740891    
  -3.26165748      -49.7205772    
  -2.74914050      -48.7608948    
  -2.19335961      -47.9356613    
  -1.67328179      -47.1232224    
  -1.14902151      -46.1983795    
 -0.660051286      -45.4072113    
 -0.166699111      -44.6249390    
  0.331270248      -43.7261162    
  0.794117272      -42.9580841    
   1.30121636      -42.0717888    
   1.77308226      -41.1906166    
   2.20954657      -40.4362144    
   2.65008688      -39.5623817    
   3.05489159      -38.8115807    
   3.50370264      -37.9416504    
   3.95617461      -37.0730858    
   4.37236404      -36.2052574    
   4.79187202      -35.3375511    
   5.17461586      -34.5817413    
   5.56031418      -33.7105865    
   5.94881773      -32.8377037    
   6.29917479      -31.9625874    
   6.65196848      -31.0847511    
   6.96681261      -30.2037449    
   7.28376865      -29.3191776    
   7.56161213      -28.3342476    
   7.84125376      -27.4441090    
   8.12257957      -26.5494480    
   8.36417961      -25.6499920    
   8.62902069      -24.6598396    
   8.88972378      -23.7530460    
   9.13443375      -22.8408947    
   9.25660706      -21.8460903    
